"city_name","average_salary"
"Cologne","166723333.3"
"Düsseldorf","70000.0"
"Amsterdam","67925.0"
"Dusseldorf","65000.0"
"Regensburg","65000.0"
"Munich","62414.3"
"Stuttgart ","60000.0"
"Hildesheim ","60000.0"
"Berlin","59511.4"
"Brunswick","58000.0"
"Frankfurt","57000.0"
"Stuttgart","56550.0"
"Kempten","49000.0"
"Stockholm","48000.0"
"Prague","46500.0"
"Düsseldorf ","45000.0"
"Ulm","45000.0"
"Cambridge","45000.0"
"Hamburg","36833.3"
"Hannover","32000.0"
"Eindhoven","24000.0"
"Tampere (Finland)","23000.0"
"Lisbon","17500.0"
